Players,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MS Atapattu,SL,,,,,,,,,,,,,,,,,,,,,8,,35,,,,84,879,744,787,942,1084,1192,812,729,498,592,143,,,,,,,,,,,,
Jahangir Alam Talukdar,BDESH,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE Malcolm,ENG,,,,,,,,,,,,,,,,,,,,,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Maqsood Rana,PAK,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA Moseley,WI,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sajjad Akbar,PAK,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gursharan Singh,INDIA,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLV Raju,INDIA,,,,,,,,,,,,,,,,,,,,,4,5,18,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,
GR Larsen,NZ,,,,,,,,,,,,,,,,,,,,,2,17,59,123,136,107,11,103,,71,,,,,,,,,,,,,,,,,,,,
SP Mukherjee,INDIA,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCR Tufnell,ENG,,,,,,,,,,,,,,,,,,,,,2,8,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,
SJ Roberts,NZ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPJ Warnaweera,SL,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Kumble,INDIA,,,,,,,,,,,,,,,,,,,,,0,,18,78,52,23,147,124,64,60,150,8,70,66,26,44,3,5,,,,,,,,,,,,
JP Millmow,NZ,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS Kaluwitharana,SL,,,,,,,,,,,,,,,,,,,,,,14,1,125,4,149,685,165,479,882,262,583,155,205,2,,,,,,,,,,,,,,,
Saiful Islam,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,30,,7,,,,,,,,,,,,,,,,,,,,,,
GP Wickramasinghe,SL,,,,,,,,,,,,,,,,,,,,,,,35,29,41,9,26,,42,112,11,34,5,,,,,,,,,,,,,,,,,
PA Wallace,WI,,,,,,,,,,,,,,,,,,,,,,155,59,,,,3,40,293,4,147,,,,,,,,,,,,,,,,,,,
PK Amre,INDIA,,,,,,,,,,,,,,,,,,,,,,130,244,120,19,,,,,,,,,,,,,,,,,,,,,,,,,
GA Hick,ENG,,,,,,,,,,,,,,,,,,,,,,129,499,410,336,197,534,109,263,794,516,59,,,,,,,,,,,,,,,,,,
AP Kuiper,SA,,,,,,,,,,,,,,,,,,,,,,127,149,,138,64,61,,,,,,,,,,,,,,,,,,,,,,,
PN Kirsten,SA,,,,,,,,,,,,,,,,,,,,,,95,672,139,387,,,,,,,,,,,,,,,,,,,,,,,,,
VG Kambli,INDIA,,,,,,,,,,,,,,,,,,,,,,93,29,684,716,219,262,133,89,80,172,,,,,,,,,,,,,,,,,,,
Inzamam-ul-Haq,PAK,,,,,,,,,,,,,,,,,,,,,,80,818,808,901,699,503,891,669,1106,1074,646,743,418,911,874,450,148,,,,,,,,,,,,
SJ Cook,SA,,,,,,,,,,,,,,,,,,,,,,52,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
AC Cummins,CAN,,,,,,,,,,,,,,,,,,,,,,38,32,115,200,74,,,,,,,,,,,,27,,,,,,,,,,,,
M Yachad,SA,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEB Rice,SA,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Srinath,INDIA,,,,,,,,,,,,,,,,,,,,,,24,44,14,18,76,267,65,120,121,69,19,18,28,,,,,,,,,,,,,,,,
RP Snell,SA,,,,,,,,,,,,,,,,,,,,,,18,33,118,74,,79,,,,,,,,,,,,,,,,,,,,,,,
ST Banerjee,INDIA,,,,,,,,,,,,,,,,,,,,,,13,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL Cairns,NZ,,,,,,,,,,,,,,,,,,,,,,11,72,66,211,437,507,414,391,579,523,5,398,585,429,282,40,,,,,,,,,,,,,
CR Matthews,SA,,,,,,,,,,,,,,,,,,,,,,10,2,19,61,22,27,,,,,,,,,,,,,,,,,,,,,,,
RK Illingworth,ENG,,,,,,,,,,,,,,,,,,,,,,9,31,21,,,7,,,,,,,,,,,,,,,,,,,,,,,
DJ Richardson,SA,,,,,,,,,,,,,,,,,,,,,,9,106,122,349,50,118,102,12,,,,,,,,,,,,,,,,,,,,,
CE Eksteen,SA,,,,,,,,,,,,,,,,,,,,,,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
MR Ramprakash,ENG,,,,,,,,,,,,,,,,,,,,,,6,,,41,77,60,,81,,,111,,,,,,,,,,,,,,,,,,
BM McMillan,SA,,,,,,,,,,,,,,,,,,,,,,2,138,153,33,127,335,36,17,,,,,,,,,,,,,,,,,,,,,
AC Hudson,SA,,,,,,,,,,,,,,,,,,,,,,0,660,302,480,70,950,97,,,,,,,,,,,,,,,,,,,,,,
TG Shaw,SA,,,,,,,,,,,,,,,,,,,,,,0,,,26,,,,,,,,,,,,,,,,,,,,,,,,,
AA Donald,SA,,,,,,,,,,,,,,,,,,,,,,,8,12,9,5,0,21,19,10,1,4,6,0,,,,,,,,,,,,,,,,
DV Lawrence,ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DA Reeve,ENG,,,,,,,,,,,,,,,,,,,,,,,118,107,16,,50,,,,,,,,,,,,,,,,,,,,,,,
A Flower,ZIM,,,,,,,,,,,,,,,,,,,,,,,374,270,225,163,372,766,772,852,943,1060,657,332,,,,,,,,,,,,,,,,
JN Rhodes,SA,,,,,,,,,,,,,,,,,,,,,,,333,363,819,144,560,578,596,386,551,537,1066,2,,,,,,,,,,,,,,,,
WJ Cronje,SA,,,,,,,,,,,,,,,,,,,,,,,330,395,1133,157,933,771,691,587,568,,,,,,,,,,,,,,,,,,,
A Jadeja,INDIA,,,,,,,,,,,,,,,,,,,,,,,205,75,720,170,789,937,1004,1144,315,,,,,,,,,,,,,,,,,,,
UC Hathurusingha,SL,,,,,,,,,,,,,,,,,,,,,,,189,400,,56,3,,21,0,,,,,,,,,,,,,,,,,,,,
MH Dekker,ZIM,,,,,,,,,,,,,,,,,,,,,,,134,116,84,5,40,,,,,,,,,,,,,,,,,,,,,,,
Rashid Latif,PAK,,,,,,,,,,,,,,,,,,,,,,,118,152,190,58,146,15,69,,,169,435,357,,,,,,,,,,,,,,,,
DJ Callaghan,SA,,,,,,,,,,,,,,,,,,,,,,,114,41,272,51,,,,,15,,,,,,,,,,,,,,,,,,,
GW Flower,ZIM,,,,,,,,,,,,,,,,,,,,,,,97,256,133,138,472,843,928,784,648,1116,394,468,259,,,,,,35,,,,,,,,,
RS Kalpage,SL,,,,,,,,,,,,,,,,,,,,,,,90,228,325,96,11,23,37,34,,,,,,,,,,,,,,,,,,,,
AC Parore,NZ,,,,,,,,,,,,,,,,,,,,,,,78,,728,305,627,250,472,348,168,229,109,,,,,,,,,,,,,,,,,
MW Rushmere,SA,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR Hartland,NZ,,,,,,,,,,,,,,,,,,,,,,,73,,238,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Nash,NZ,,,,,,,,,,,,,,,,,,,,,,,60,,34,15,19,,195,155,31,70,45,,,,,,,,,,,,,,,,,
GJ Crocker,ZIM,,,,,,,,,,,,,,,,,,,,,,,59,39,,,,,,,,,,,,,,,,,,,,,,,,,,
JTC Vaughan,NZ,,,,,,,,,,,,,,,,,,,,,,,51,,,80,31,,,,,,,,,,,,,,,,,,,,,,,
DR Martyn,AUS,,,,,,,,,,,,,,,,,,,,,,,45,91,30,,,,114,450,532,417,718,878,611,805,655,,,,,,,,,,,,,
PR Reiffel,AUS,,,,,,,,,,,,,,,,,,,,,,,41,67,130,64,119,38,34,10,,,,,,,,,,,,,,,,,,,,
V Yadav,INDIA,,,,,,,,,,,,,,,,,,,,,,,37,81,0,,,,,,,,,,,,,,,,,,,,,,,,,
CN Evans,ZIM,,,,,,,,,,,,,,,,,,,,,,,35,,,8,211,237,174,2,,,97,,,,,,,,,,,,,,,,,
WR James,ZIM,,,,,,,,,,,,,,,,,,,,,,,35,14,52,,,,,,,,,,,,,,,,,,,,,,,,,
JR Murray,WI,,,,,,,,,,,,,,,,,,,,,,,29,64,6,114,118,226,7,114,,,,,,,,,,,,,,,,,,,,
MG Burmester,ZIM,,,,,,,,,,,,,,,,,,,,,,,28,,,81,,,,,,,,,,,,,,,,,,,,,,,,
Wasim Haider,PAK,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ Blakey,ENG,,,,,,,,,,,,,,,,,,,,,,,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,
DH Brain,ZIM,,,,,,,,,,,,,,,,,,,,,,,24,61,18,14,,,,,,,,,,,,,,,,,,,,,,,,
KCG Benjamin,WI,,,,,,,,,,,,,,,,,,,,,,,22,29,3,,11,,,,,,,,,,,,,,,,,,,,,,,
O Henry,SA,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
JC Adams,WI,,,,,,,,,,,,,,,,,,,,,,,17,258,214,203,213,133,,638,352,176,,,,,,,,,,,,,,,,,,
ML Su'a,NZ,,,,,,,,,,,,,,,,,,,,,,,17,,7,,,,,,,,,,,,,,,,,,,,,,,,,
MW Pringle,SA,,,,,,,,,,,,,,,,,,,,,,,15,20,13,,,,,,,,,,,,,,,,,,,,,,,,,
EA Essop-Adam,ZIM,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADR Campbell,ZIM,,,,,,,,,,,,,,,,,,,,,,,13,223,184,142,278,649,805,703,960,837,384,7,,,,,,,,,,,,,,,,
MJ Haslam,NZ,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
KG Duers,ZIM,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC Ganguly,Asia/INDIA,,,,,,,,,,,,,,,,,,,,,,,3,,,,269,1338,1328,1767,1579,813,1114,756,947,209,,1240,,,,,,,,,,,,
CJPG van Zyl,SA,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Doull,NZ,,,,,,,,,,,,,,,,,,,,,,,2,,44,17,19,54,30,6,0,,,,,,,,,,,,,,,,,,,
Iqbal Sikander,PAK,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG Peall,ZIM,,,,,,,,,,,,,,,,,,,,,,,1,54,23,4,9,,,,,,,,,,,,,,,,,,,,,,,
Ata-ur-Rehman,PAK,,,,,,,,,,,,,,,,,,,,,,,0,2,19,6,7,,,,,,,,,,,,,,,,,,,,,,,
MB Owens,NZ,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanvir Mehdi,PAK,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Bosch,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DG Cork,ENG,,,,,,,,,,,,,,,,,,,,,,,,11,,14,67,40,,,,42,6,,,,,,,,,,,,,,,,,
PS de Villiers,SA,,,,,,,,,,,,,,,,,,,,,,,,20,68,20,55,7,,,,,,,,,,,,,,,,,,,,,,
DK Liyanage,SL,,,,,,,,,,,,,,,,,,,,,,,,56,,,,86,,,,2,,,,,,,,,,,,,,,,,,
U Ranchod,ZIM,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
BN Schultz,SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGD Wickremasinghe,SL,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Basit Ali,PAK,,,,,,,,,,,,,,,,,,,,,,,,471,580,174,40,,,,,,,,,,,,,,,,,,,,,,,
DJ Cullinan,SA,,,,,,,,,,,,,,,,,,,,,,,,238,475,147,1034,810,408,517,231,,,,,,,,,,,,,,,,,,,
GJ Whittall,ZIM,,,,,,,,,,,,,,,,,,,,,,,,106,57,106,233,526,332,371,499,383,33,59,,,,,,,,,,,,,,,,
ML Hayden,AUS,,,,,,,,,,,,,,,,,,,,,,,,102,184,,,,,,191,311,878,1037,946,482,103,1601,298,,,,,,,,,,,
MJ Slater,AUS,,,,,,,,,,,,,,,,,,,,,,,,91,435,232,211,18,,,,,,,,,,,,,,,,,,,,,,
GP Thorpe,ENG,,,,,,,,,,,,,,,,,,,,,,,,89,106,158,666,459,4,304,239,95,260,,,,,,,,,,,,,,,,,
JW Wilson,NZ,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,23,,,,,,,,,,,,,,
RIC Holder,WI,,,,,,,,,,,,,,,,,,,,,,,,75,111,106,194,113,,,,,,,,,,,,,,,,,,,,,,
GA Briant,ZIM,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,
PL Symcox,SA,,,,,,,,,,,,,,,,,,,,,,,,38,20,48,250,118,196,24,,,,,,,,,,,,,,,,,,,,
DP Samaraweera,SL,,,,,,,,,,,,,,,,,,,,,,,,28,63,,,,,,,,,,,,,,,,,,,,,,,,,
JA Rennie,ZIM,,,,,,,,,,,,,,,,,,,,,,,,27,20,,34,22,36,20,42,,,,,,,,,,,,,,,,,,,
PB Dassanayake,SL,,,,,,,,,,,,,,,,,,,,,,,,25,60,,,,,,,,,,,,,,,,,,,,,,,,,
ELR Stewart,SA,,,,,,,,,,,,,,,,,,,,,,,,25,32,,,,,,,,4,,,,,,,,,,,,,,,,,
HH Streak,Afr/ZIM,,,,,,,,,,,,,,,,,,,,,,,,25,46,63,161,128,332,136,401,556,118,469,317,191,,,,,,,,,,,,,,
Aamer Hanif,PAK,,,,,,,,,,,,,,,,,,,,,,,,17,,72,,,,,,,,,,,,,,,,,,,,,,,,
GK Bruk-Jackson,ZIM,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
G Kirsten,SA,,,,,,,,,,,,,,,,,,,,,,,,11,610,362,1442,593,561,465,1467,638,463,186,,,,,,,,,,,,,,,,
RK Chauhan,INDIA,,,,,,,,,,,,,,,,,,,,,,,,7,66,,,59,,,,,,,,,,,,,,,,,,,,,,
SK Warne,ICC,,,,,,,,,,,,,,,,,,,,,,,,6,178,50,49,119,67,204,96,66,181,0,,2,,,,,,,,,,,,,,
M Muralitharan,SL,,,,,,,,,,,,,,,,,,,,,,,,4,2,23,28,38,40,50,4,81,32,72,11,31,64,11,56,113,7,7,,,,,,,,
RPAH Wickramaratne,SL,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Caddick,ENG,,,,,,,,,,,,,,,,,,,,,,,,3,20,,,12,,,42,68,40,64,,,,,,,,,,,,,,,,
RP de Groen,NZ,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
Ghulam Ali,PAK,,,,,,,,,,,,,,,,,,,,,,,,2,,51,,,,,,,,,,,,,,,,,,,,,,,,
IDK Salisbury,ENG,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,
Aamer Nazir,PAK,,,,,,,,,,,,,,,,,,,,,,,,1,,12,,,,,,,,,,,,,,,,,,,,,,,,
JP Taylor,ENG,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Arshad Khan,PAK,,,,,,,,,,,,,,,,,,,,,,,,0,,15,,6,21,38,25,,,,,28,,,,,,,,,,,,,,
GD McGrath,AUS,,,,,,,,,,,,,,,,,,,,,,,,0,14,11,18,2,,7,17,1,18,6,0,8,7,6,,,,,,,,,,,,
N Ranatunga,SL,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Irfan Bhatti,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Julian,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,11,,0,29,184,,,,,,,,,,,,,,,,,,,,
Nadeem Khan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
MG Bevan,AUS,,,,,,,,,,,,,,,,,,,,,,,,,432,94,760,728,959,949,881,581,466,784,278,,,,,,,,,,,,,,,
SP Fleming,NZ,,,,,,,,,,,,,,,,,,,,,,,,,348,514,708,423,806,332,577,457,772,681,921,439,390,669,,,,,,,,,,,,
SC Williams,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,300,341,97,626,137,85,,,,,,54,145,215,204,365,105,58,,337,299,893,46,226,448,151
S Ranatunga,SL,,,,,,,,,,,,,,,,,,,,,,,,,222,26,5,,,,,,,,,,,,,,,,,,,,,,,
EO Simons,SA,,,,,,,,,,,,,,,,,,,,,,,,,197,20,,,,,,,,,,,,,,,,,,,,,,,,
AC Bedade,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,
JL Langer,AUS,,,,,,,,,,,,,,,,,,,,,,,,,125,6,,29,,,,,,,,,,,,,,,,,,,,,,
SG Law,AUS,,,,,,,,,,,,,,,,,,,,,,,,,117,111,593,324,61,31,,,,,,,,,,,,,,,,,,,,
NR Mongia,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,105,134,338,130,373,188,4,,,,,,,,,,,,,,,,,,,
Mazhar Hussain,UAE,,,,,,,,,,,,,,,,,,,,,,,,,80,,99,,,,,,,,,,,,,,,,,,,,,,,
MJR Rindel,SA,,,,,,,,,,,,,,,,,,,,,,,,,64,151,,,321,39,,,,,,,,,,,,,,,,,,,,
MP Maynard,ENG,,,,,,,,,,,,,,,,,,,,,,,,,59,,94,,,,3,,,,,,,,,,,,,,,,,,,
S Chanderpaul,WI,,,,,,,,,,,,,,,,,,,,,,,,,49,260,515,599,158,960,104,448,624,246,668,650,948,912,578,531,398,130,,,,,,,,
MN Hart,NZ,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,0,,,12,,,,,,,,,,,,,,,,,
V Mehra,UAE,,,,,,,,,,,,,,,,,,,,,,,,,48,,44,,,,,,,,,,,,,,,,,,,,,,,
WPUJC Vaas,SL,,,,,,,,,,,,,,,,,,,,,,,,,47,72,191,43,69,232,210,215,253,149,105,117,168,63,91,,,,,,,,,,,
UDU Chandana,SL,,,,,,,,,,,,,,,,,,,,,,,,,46,,50,29,186,395,107,13,231,122,315,132,,1,,,,,,,,,,,,
HDPK Dharmasena,SL,,,,,,,,,,,,,,,,,,,,,,,,,46,102,238,252,211,,9,174,8,156,26,,,,,,,,,,,,,,,
RH Poonawala,UAE,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,
PA Strang,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,38,68,226,363,260,60,56,19,,,,,,,,,,,,,,,,,,
Arshad Laeeq,UAE,,,,,,,,,,,,,,,,,,,,,,,,,35,,66,,,,,,,,,,,,,,,,,,,,,,,
JA Samarasekera,UAE,,,,,,,,,,,,,,,,,,,,,,,,,34,,90,,,,,,,,,,,,,,,,,,,,,,,
MW Douglas,NZ,,,,,,,,,,,,,,,,,,,,,,,,,33,22,,,,,,,,,,,,,,,,,,,,,,,,
DN Crookes,SA,,,,,,,,,,,,,,,,,,,,,,,,,30,,121,39,53,33,20,,,,,,,,,,,,,,,,,,,
GC Martin,ZIM,,,,,,,,,,,,,,,,,,,,,,,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,
Mohammad Ishaq,UAE,,,,,,,,,,,,,,,,,,,,,,,,,27,,71,,,,,,,,,,,,,,,,,,,,,,,
UNK Fernando,SL,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,
Saleem Raza,UAE,,,,,,,,,,,,,,,,,,,,,,,,,22,,137,,,,,,,,,,,,,,,,,,,,,,,
CE Cuffy,WI,,,,,,,,,,,,,,,,,,,,,,,,,20,,1,4,,,,28,9,,,,,,,,,,,,,,,,,
AP Igglesden,ENG,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,
JP Crawley,ENG,,,,,,,,,,,,,,,,,,,,,,,,,18,16,10,136,,55,,,,,,,,,,,,,,,,,,,,
KR Pushpakumara,SL,,,,,,,,,,,,,,,,,,,,,,,,,17,3,14,2,0,0,,,,,,,,,,,,,,,,,,,,
SD Udal,ENG,,,,,,,,,,,,,,,,,,,,,,,,,17,18,,,,,,,,,,0,,,,,,,,,,,,,,
PA Emery,AUS,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
D Gough,ENG,,,,,,,,,,,,,,,,,,,,,,,,,10,68,95,30,18,108,30,56,40,14,45,76,19,,,,,,,,,,,,,
Sultan Zarawani,UAE,,,,,,,,,,,,,,,,,,,,,,,,,10,,16,,,,,,,,,,,,,,,,,,,,,,,
BS Browne,WI,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
R Dhanraj,WI,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Imtiaz Abbasi,UAE,,,,,,,,,,,,,,,,,,,,,,,,,8,,4,,,,,,,,,,,,,,,,,,,,,,,
Sohail Butt,UAE,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Bhupinder Singh snr,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
GR Robertson,AUS,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,38,,,,,,,,,,,,,,,,,,,,,
DB Rundle,SA,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
DW Fleming,AUS,,,,,,,,,,,,,,,,,,,,,,,,,4,10,5,,11,18,53,51,,,,,,,,,,,,,,,,,,
SL Watkin,ENG,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Azhar Saeed,UAE,,,,,,,,,,,,,,,,,,,,,,,,,3,,58,,,,,,,,,,,,,,,,,,,,,,,
SL Campbell,WI,,,,,,,,,,,,,,,,,,,,,,,,,3,438,262,138,,747,621,74,,,,,,,,,,,,,,,,,,
DJ Murray,NZ,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
AAW Gunawardena,SL,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
AMN Munasinghe,SL,,,,,,,,,,,,,,,,,,,,,,,,,2,,11,,,,,,,,,,,,,,,,,,,,,,,
AP Weerakkody,SL,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
SD Jack,SA,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,
J Angel,AUS,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
JE Benjamin,ENG,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
BKV Prasad,INDIA,,,,,,,,,,,,,,,,,,,,,,,,,0,9,41,25,44,58,34,10,,,,,,,,,,,,,,,,,,
C White,ENG,,,,,,,,,,,,,,,,,,,,,,,,,0,,113,74,,,146,4,152,79,,,,,,,,,,,,,,,,
Ashfaq Ahmed,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,44
HT Davis,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
LK Germon,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,90,385,44,,,,,,,,,,,,,,,,,,,,,,
Kabir Khan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,3,,,,,,,,,,,,,,,,,,,
NJ Astle,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,414,560,647,891,569,845,735,619,260,490,428,586,46,,,,,,,,,,,,
Saleem Elahi,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,311,126,26,46,,135,161,466,183,125,,,,,,,,,,,,,,,
RG Twose,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,221,391,38,,823,1067,177,,,,,,,,,,,,,,,,,,
RT Ponting,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,196,733,75,1166,1038,510,828,882,1154,840,1191,798,1424,278,1198,771,604,18,,,,,,,
GS Blewett,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,111,81,282,,77,,,,,,,,,,,,,,,,,,,,
CM Spearman,NZ,,,,,,,,,,,,,,,,,,,,,,,,,,94,391,6,40,143,257,5,,,,,,,,,,,,,,,,,,
Shakeel Ahmed jnr,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,
CO Browne,WI,,,,,,,,,,,,,,,,,,,,,,,,,,53,102,17,,,15,,,,35,193,,,,,,,,,,,,,,
OD Gibson,WI,,,,,,,,,,,,,,,,,,,,,,,,,,50,88,3,,,,,,,,,,,,,,,,,,,,,,
Zafar Iqbal,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,
Khaled Mashud,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,46,,40,31,142,36,51,313,217,399,261,282,,,,,,,,,,,,,
S Lee,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,46,15,,,227,164,25,,,,,,,,,,,,,,,,,,
Saqlain Mushtaq,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,30,132,182,71,94,109,32,44,17,,,,,,,,,,,,,,,,
Javed Omar,BDESH,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,21,47,156,186,93,37,159,225,215,146,,,,,,,,,,,,
VC Drakes,WI,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,0,68,1,,,,,,,,,,,,,,,
Naeem Ashraf,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,
HAG Anthony,WI,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
Saeed Azad,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,19,46,,,,,,,,,,,,,,,,,,,,,,,
