Players,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GM Turner,NZ,,,,36,11,359,182,,,176,,,,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KJ Wadsworth,NZ,,,,33,111,68,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH Lloyd,WI,,,,31,,159,126,45,,143,96,240,249,184,336,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JA Jameson,ENG,,,,28,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushtaq Mohammad,PAK,,,,27,25,89,46,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLC Foster,WI,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM Old,ENG,,,,25,44,128,,81,35,18,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG Coman,NZ,,,,24,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR Taylor,NZ,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saleem Altaf,PAK,,,,21,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasim Bari,PAK,,,,21,,3,2,2,31,26,,4,18,81,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGA Headley,WI,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarfraz Nawaz,PAK,,,,17,,0,0,2,34,12,8,39,31,53,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE Vivian,NZ,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO Collinge,NZ,,,,13,,8,5,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL Murray,WI,,,,11,,113,28,11,51,64,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW Taylor,ENG,,,,11,26,23,,,12,32,,,9,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA Holder,WI,,,,10,,22,2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intikhab Alam,PAK,,,,10,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGD Willis,ENG,,,,9,,,,7,,27,,3,2,21,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Lloyd,ENG,,,,8,193,49,,,34,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Majid Khan,PAK,,,,8,109,209,20,23,87,150,66,76,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KD Boyce,WI,,,,7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ Howarth,NZ,,,,6,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE Congdon,NZ,,,,5,131,101,47,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asif Masood,PAK,,,,4,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BF Hastings,NZ,,,,4,34,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasim Raja,PAK,,,,4,,91,8,79,44,39,46,47,196,41,109,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asif Iqbal,1.0,,,,3.0,24.0,53.0,,59.0,62.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,
RE Redmond,NZ,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL Underwood,ENG,,,,2,17,3,22,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
